what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504451996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504455045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504455825
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356504458006
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504461994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504464876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504465690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504466655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356504471988
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504613891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504614983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504615719
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504616493
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504617216
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356504634471
